"client_id","region","registration_date","plan_type"
"C0001","Північ",2022-10-26,"Basic"
"C0002","Північ",2023-02-10,"Basic"
"C0003","Північ",2022-11-10,"Basic"
"C0004","Північ",2022-10-19,"Basic"
"C0005","Південь",2022-05-26,"Premium"
"C0006","Схід",2022-04-19,"Basic"
"C0007","Південь",2022-12-14,"Basic"
"C0008","Південь",2022-07-16,"Premium"
"C0009","Північ",2022-01-04,"Premium"
"C0010","Схід",2022-08-14,"Premium"
"C0011","Захід",2023-05-19,"Basic"
"C0012","Схід",2023-03-10,"Basic"
"C0013","Захід",2022-12-21,"Premium"
"C0014","Схід",2023-04-17,"Premium"
"C0015","Північ",2022-08-03,"Premium"
"C0016","Північ",2023-03-09,"Basic"
"C0017","Південь",2022-09-02,"Basic"
"C0018","Схід",2023-02-14,"Basic"
"C0019","Південь",2022-04-24,"Premium"
"C0020","Південь",2022-09-19,"Premium"
"C0021","Захід",2023-01-25,"Premium"
"C0022","Захід",2022-05-10,"Premium"
"C0023","Північ",2023-01-07,"Basic"
"C0024","Північ",2022-01-03,"Basic"
"C0025","Захід",2023-01-09,"Premium"
"C0026","Схід",2023-02-09,"Premium"
"C0027","Північ",2022-09-15,"Premium"
"C0028","Захід",2022-12-24,"Basic"
"C0029","Північ",2022-07-05,"Basic"
"C0030","Північ",2022-05-18,"Basic"
"C0031","Схід",2022-02-09,"Basic"
"C0032","Південь",2022-01-05,"Basic"
"C0033","Схід",2022-02-02,"Premium"
"C0034","Схід",2023-05-17,"Premium"
"C0035","Захід",2022-04-13,"Basic"
"C0036","Південь",2022-08-16,"Basic"
"C0037","Північ",2023-05-27,"Basic"
"C0038","Південь",2022-11-25,"Basic"
"C0039","Схід",2022-06-06,"Premium"
"C0040","Південь",2022-03-17,"Basic"
